confirmed, block.height, block.time, tx.type, tx.sender, tx.receiver,tx.amount, tx.start_time, tx.originator
1, 1055, 64784299.00, CLAIM_HTLC  ,  30085,      1, 2066577, 64709630.79,      1
1, 1062, 65054286.00, PREPARE_HTLC,  30083,      0, 2031970, 65027516.46,  30083
1, 1063, 65110217.00, CLAIM_HTLC  ,  30083,      0, 2031970, 65054870.67,      0
1, 1070, 65538753.00, PREPARE_HTLC,  30082,  30079, 2007521, 65489342.51,  30082
1, 1071, 65544163.00, CLAIM_HTLC  ,  30082,  30079, 2007521, 65539314.02,  30079
1, 1078, 66111436.00, PREPARE_HTLC,  30079,  30078, 2003964, 66064592.18,  30079
1, 1079, 66170949.00, CLAIM_HTLC  ,  30079,  30078, 2003964, 66112015.70,  30078
1, 1080, 66309789.00, PREPARE_HTLC,  30080,   4271, 2064712, 66282393.20,  30080
1, 1081, 66381344.00, CLAIM_HTLC  ,  30080,   4271, 2064712, 66310383.39,   4271
1, 1102, 67726871.00, PREPARE_HTLC,      0,  30078, 2087947, 67553536.54,      0
1, 1103, 67745755.00, CLAIM_HTLC  ,      0,  30078, 2087947, 67727471.60,  30078
1, 1127, 69079249.00, PREPARE_HTLC,  30080,      0, 2022481, 68909597.65,  30080
1, 1128, 69170635.00, CLAIM_HTLC  ,  30080,      0, 2022481, 69079847.04,      0
1, 1131, 69427077.00, PREPARE_HTLC,      1,   4271, 2000966, 69420445.50,      1
1, 1132, 69448030.00, CLAIM_HTLC  ,      1,   4271, 2000966, 69427667.93,   4271
1, 1160, 70656908.00, PREPARE_HTLC,  30088,   4271, 2044988, 70594642.01,  30088
1, 1161, 70671322.00, CLAIM_HTLC  ,  30088,   4271, 2044988, 70657488.68,   4271
1, 1171, 71131630.00, PREPARE_HTLC,   4272,      0, 2000452, 71120133.62,   4272
1, 1172, 71132369.00, CLAIM_HTLC  ,   4272,      0, 2000452, 71132248.67,      0
1, 1191, 72158004.00, PREPARE_HTLC,   4273,   4271, 2091875, 72099772.28,   4273
1, 1192, 72180249.00, CLAIM_HTLC  ,   4273,   4271, 2091875, 72158601.82,   4271
1, 1192, 72180249.00, PREPARE_HTLC,      0,  30078, 2065127, 72159626.27,      0
1, 1193, 72216913.00, CLAIM_HTLC  ,      0,  30078, 2065127, 72180874.55,  30078
1, 1203, 72954363.00, PREPARE_HTLC,  30084,      0, 2046975, 72909140.31,  30084
1, 1204, 72965415.00, CLAIM_HTLC  ,  30084,      0, 2046975, 72954916.20,      0
1, 1220, 74280598.00, PREPARE_HTLC,  30079,  30078, 2025240, 74154613.88,  30079
1, 1221, 74331743.00, CLAIM_HTLC  ,  30079,  30078, 2025240, 74281167.37,  30078
1, 1234, 75014389.00, PREPARE_HTLC,  30083,      0, 2037485, 74965202.31,  30083
1, 1235, 75110744.00, CLAIM_HTLC  ,  30083,      0, 2037485, 75014967.57,      0
1, 1244, 75702144.00, PREPARE_HTLC,      0,  30078, 2009896, 75661147.22,      0
1, 1245, 75875928.00, CLAIM_HTLC  ,      0,  30078, 2009896, 75702759.40,  30078
1, 1245, 75875928.00, PREPARE_HTLC,      1,  30078, 2001457, 75874047.49,      1
1, 1246, 75937314.00, CLAIM_HTLC  ,      1,  30078, 2001457, 75876512.95,  30078
1, 1305, 79077169.00, PREPARE_HTLC,  30079,  30078, 2048131, 79018036.98,  30079
